name,taste,environment,service,price,comment-volume,link
真功夫(龙华悦都店),7.1,7.5,7.1,0,8,http://www.dianping.com/shop/90979696
真功夫(坪山店),7.4,7.4,7.4,19,214,http://www.dianping.com/shop/1971787
真功夫(沙井裕客隆店),7.4,7.4,7.3,20,188,http://www.dianping.com/shop/8000176
真功夫(民田二店),7.1,7.1,7.1,0,13,http://www.dianping.com/shop/93405880
真功夫(平湖龙洲店),7.2,7.3,7.3,35,149,http://www.dianping.com/shop/8022042
真功夫(固戍华庭店),7.3,7.3,7.1,26,155,http://www.dianping.com/shop/17884336
真功夫(横岗龙洲店),7.4,7.6,7.4,19,215,http://www.dianping.com/shop/8021861
真功夫(深圳火车站二店),6.9,7.1,6.9,32,87,http://www.dianping.com/shop/6800391
真功夫(观澜店),7.3,7.3,7.3,24,8,http://www.dianping.com/shop/69817303
真功夫(福永国惠康店),7.1,7.1,7.2,22,239,http://www.dianping.com/shop/8000097
真功夫(公明万盛店),7.4,7.5,7.4,51,131,http://www.dianping.com/shop/8000085
真功夫(民治四店),7.2,7.5,7.2,25,28,http://www.dianping.com/shop/67394072
真功夫(同富路店),6.9,6.9,6.8,26,1,http://www.dianping.com/shop/58058218
真功夫(沙井松福店),7.4,7.4,7.4,25,2,http://www.dianping.com/shop/69857124
真功夫(观澜影剧院店),7.0,7.1,7.0,16,197,http://www.dianping.com/shop/8021800
真功夫(龙城乐购店),7.2,7.3,7.2,33,238,http://www.dianping.com/shop/8029870
真功夫(大浪店店),7.2,7.2,7.0,21,375,http://www.dianping.com/shop/3646843
真功夫(松岗店),7.3,7.3,7.2,24,215,http://www.dianping.com/shop/8000077
真功夫(福永唐美店),7.2,7.4,7.2,31,202,http://www.dianping.com/shop/12591092
真功夫(会展中心店),6.9,7.2,6.9,27,17,http://www.dianping.com/shop/6800458
真功夫(观澜桂花店),7.2,7.2,7.2,25,87,http://www.dianping.com/shop/18687415
真功夫(星宇广场店),7.0,7.1,7.0,25,184,http://www.dianping.com/shop/5269036
真功夫(龙岗老街店),7.1,7.3,7.0,35,15,http://www.dianping.com/shop/57443442
真功夫(福永桥头店),7.3,7.4,7.3,18,122,http://www.dianping.com/shop/18687412
真功夫(福永为盛店),7.3,7.3,7.2,21,128,http://www.dianping.com/shop/12591080
真功夫(集信店),6.9,7.0,6.9,19,111,http://www.dianping.com/shop/524336
真功夫(仁山智水店),6.6,7.1,7.0,0,2,http://www.dianping.com/shop/93349934
真功夫(岗头店),6.8,6.8,6.4,0,1,http://www.dianping.com/shop/95285760
真功夫(南联摩尔城店),7.2,7.5,7.2,31,234,http://www.dianping.com/shop/8021902
真功夫(福永凤凰店),7.4,7.4,7.4,24,11,http://www.dianping.com/shop/83456431
真功夫(福永万家乐店),7.2,7.2,7.2,19,99,http://www.dianping.com/shop/8000168
真功夫(观澜大道店),6.8,6.9,6.4,24,11,http://www.dianping.com/shop/66837173
真功夫(松岗燕川店),7.1,7.3,7.2,20,62,http://www.dianping.com/shop/21239062
真功夫(翻身路店),7.1,7.2,7.0,25,36,http://www.dianping.com/shop/4586576
真功夫,7.1,7.2,7.2,39,36,http://www.dianping.com/shop/67963129
真功夫(福永天源隆店),7.2,7.3,7.2,21,151,http://www.dianping.com/shop/8000181
真功夫(坪洲店),7.3,7.3,7.4,21,90,http://www.dianping.com/shop/19255354
真功夫(光明玉律店),6.8,7.2,6.9,0,2,http://www.dianping.com/shop/96577927
真功夫,6.4,6.5,6.3,0,6,http://www.dianping.com/shop/96480802
真功夫(沙井上南店),7.2,7.4,7.3,12,135,http://www.dianping.com/shop/8000173
真功夫(沙井共和店),7.3,7.5,7.4,24,147,http://www.dianping.com/shop/11564601
真功夫(火车北站店),6.9,7.2,6.9,25,29,http://www.dianping.com/shop/6150151
真功夫(坑梓店),7.4,7.2,7.1,0,2,http://www.dianping.com/shop/97600543
真功夫,7.0,7.1,6.9,0,4,http://www.dianping.com/shop/93408987
真功夫(福永店),7.2,7.3,7.3,26,187,http://www.dianping.com/shop/524330
真功夫,7.2,7.2,7.2,25,1,http://www.dianping.com/shop/79445219
真功夫(福永和平店),7.2,7.0,6.9,24,4,http://www.dianping.com/shop/83456512
真功夫煲仔饭,6.9,6.9,6.9,25,1,http://www.dianping.com/shop/68827105
真功夫功夫送服务点,6.9,6.9,6.9,0,1,http://www.dianping.com/shop/68428996
