name,taste,environment,service,price,comment-volume,link
麦当劳(高新南环)(马路店),7.2,6.8,7.2,26,4,http://www.dianping.com/shop/45617810
麦当劳甜品站,7.2,7.2,7.1,5,14,http://www.dianping.com/shop/21117330
麦当劳甜品站(华强地铁商场店),7.1,7.1,7.0,26,7,http://www.dianping.com/shop/20661932
麦当劳甜品站,7.2,7.2,7.1,26,17,http://www.dianping.com/shop/59064399
麦当劳(松白路店),7.2,7.2,7.1,26,12,http://www.dianping.com/shop/8672236
麦当劳(中英街店),7.0,7.2,7.2,27,8,http://www.dianping.com/shop/45317414
麦当劳(华南城得来速店),7.1,7.1,7.1,25,38,http://www.dianping.com/shop/66937117
麦当劳(沃尔玛店),7.0,7.1,7.0,28,58,http://www.dianping.com/shop/2929804
麦当劳(建设路店),7.2,7.2,7.2,26,12,http://www.dianping.com/shop/56883046
麦当劳(塘尾得来速店),6.8,6.8,6.8,28,23,http://www.dianping.com/shop/6256692
麦当劳(三联店),6.9,6.9,7.1,19,20,http://www.dianping.com/shop/8030309
麦当劳甜品站(民治店),7.0,7.1,7.1,27,7,http://www.dianping.com/shop/14727916
麦当劳(B航站楼店),6.9,6.8,6.9,26,18,http://www.dianping.com/shop/13885492
麦当劳(前进路DT店),6.9,7.0,7.1,26,30,http://www.dianping.com/shop/18624099
麦当劳甜品站(cocopark店),6.9,6.9,6.9,0,3,http://www.dianping.com/shop/65257658
麦当劳(龙华山姆店),6.9,7.5,6.6,0,3,http://www.dianping.com/shop/97171319
麦当劳(平安大道DT店),6.9,6.9,6.9,0,3,http://www.dianping.com/shop/92861181
麦当劳甜品站(笋岗乐尚店),6.9,6.9,6.9,26,1,http://www.dianping.com/shop/68518503
麦当劳甜品站,6.8,6.8,6.8,0,1,http://www.dianping.com/shop/99612499
麦当劳,6.6,6.8,6.6,0,1,http://www.dianping.com/shop/95401738
麦当劳(福强店),6.7,6.7,6.7,26,8,http://www.dianping.com/shop/2929873
麦当劳(新圳西路店),7.4,7.4,7.2,0,16,http://www.dianping.com/shop/4586486
