name,taste,environment,service,price,comment-volume,link
华莱士炸鸡汉堡,6.9,6.9,6.9,20,1,http://www.dianping.com/shop/66368262
华莱士(百易店),7.0,7.0,6.8,20,2,http://www.dianping.com/shop/79452798
华莱士(松岗桥底店),7.2,7.2,7.2,18,8,http://www.dianping.com/shop/67413123
华莱士炸鸡汉堡(大浪元芬店),7.1,7.4,7.3,19,8,http://www.dianping.com/shop/69416386
华莱士炸鸡汉堡(松岗红星店),7.4,7.4,7.4,17,224,http://www.dianping.com/shop/9229330
华莱士炸鸡汉堡(共和店),7.4,7.4,7.4,16,290,http://www.dianping.com/shop/27294369
华莱士(固戍世纪百货店),6.8,6.8,7.1,19,128,http://www.dianping.com/shop/79300269
华莱士炸鸡汉堡(松岗美惠多店),7.7,7.7,7.7,22,269,http://www.dianping.com/shop/22279719
华莱士炸鸡汉堡(松岗潭头店),7.5,7.5,7.5,29,272,http://www.dianping.com/shop/22279724
华莱士(桥南店),7.2,7.2,6.7,19,8,http://www.dianping.com/shop/76831778
华莱士炸鸡汉堡(沙井车站店),7.6,7.6,7.6,18,321,http://www.dianping.com/shop/22348438
华莱士炸鸡汉堡(天宝店),7.4,7.3,7.4,14,91,http://www.dianping.com/shop/57304093
华莱士炸鸡汉堡(西乡固戍店),7.4,7.4,7.3,13,340,http://www.dianping.com/shop/22348382
华莱士炸鸡汉堡(沙井世纪万众店),7.3,7.3,7.3,19,3,http://www.dianping.com/shop/77218266
华莱士炸鸡汉堡(楼村店),7.1,7.1,6.9,22,166,http://www.dianping.com/shop/18435011
华莱士(观澜樟阁店),7.0,7.0,7.0,14,104,http://www.dianping.com/shop/27453526
华莱士炸鸡汉堡(名购店),7.5,7.5,7.4,25,275,http://www.dianping.com/shop/21224321
华莱士炸鸡汉堡(大洋路店),7.6,7.6,7.5,23,283,http://www.dianping.com/shop/22348305
华莱士炸鸡汉堡(福永民联店),7.5,7.5,7.6,21,292,http://www.dianping.com/shop/22348347
华莱士炸鸡汉堡(沙井龙井店),7.4,7.5,7.3,21,226,http://www.dianping.com/shop/10619641
华莱士炸鸡汉堡(乐惠多店),7.4,7.4,7.4,16,114,http://www.dianping.com/shop/22311306
华莱士炸鸡汉堡(塘下涌店),7.4,7.4,7.2,19,14,http://www.dianping.com/shop/69180708
华莱士炸鸡汉堡(西乡欢喜店),7.5,7.6,7.6,21,297,http://www.dianping.com/shop/22348356
华莱士炸鸡汉堡(步涌店),7.5,7.5,7.5,33,203,http://www.dianping.com/shop/22343209
华莱士(华旺店),7.1,7.2,7.1,19,14,http://www.dianping.com/shop/9213003
华莱士炸鸡汉堡(东塘店),7.8,7.7,7.7,19,440,http://www.dianping.com/shop/10619877
华莱士(长圳店),7.2,7.3,7.3,19,182,http://www.dianping.com/shop/67741610
华莱士炸鸡汉堡(兴围店),7.1,7.1,7.0,21,196,http://www.dianping.com/shop/22348366
华莱士(观澜樟坑径店),6.8,6.8,6.8,15,156,http://www.dianping.com/shop/27453604
华莱士炸鸡汉堡(公明民生店),7.4,7.4,7.3,17,274,http://www.dianping.com/shop/4592775
华莱士炸鸡汉堡(大浪新围店),7.1,7.1,7.1,19,5,http://www.dianping.com/shop/69695395
华莱士(公明店),7.0,7.0,7.0,19,864,http://www.dianping.com/shop/18235063
华莱士炸鸡汉堡(玉律店),7.6,7.6,7.6,27,406,http://www.dianping.com/shop/18435017
华莱士炸鸡汉堡(大浪南路店),7.5,7.5,7.6,16,287,http://www.dianping.com/shop/9219743
华莱士炸鸡汉堡(华兴路店),7.5,7.5,7.5,13,222,http://www.dianping.com/shop/9219540
华莱士炸鸡汉堡(后瑞华庭店),7.4,7.5,7.5,18,542,http://www.dianping.com/shop/22348427
华莱士炸鸡汉堡(西乡鹤州店),7.2,7.1,7.2,15,126,http://www.dianping.com/shop/22348363
华莱士炸鸡汉堡(田寮店),7.0,6.8,6.9,20,199,http://www.dianping.com/shop/22343234
华莱士,7.0,6.9,6.9,20,1,http://www.dianping.com/shop/66051699
